manifest,cue_id,path,role,manifest_duration_msec,volume_db,event_ids,declared_final,exists,bytes,seconds,sample_rate_hz,channels,peak,rms,finite,sha256,disposition,shared_path_cue_ids
content/ui_sfx_manifest.json,ui_click,res://art/audio/runtime/ui/click.wav,button_click,70,-18.0,,False,True,12392,0.07,44100,2,0.459961,0.108133,True,cf722823d481eaf7507892db0b014af734f9b6a91f37a3b6b2dc3c11f98ccd98,replace_nonfinal_asset,ui_click
content/ui_sfx_manifest.json,ui_select,res://art/audio/runtime/ui/select.wav,list_select,80,-18.0,,False,True,14156,0.08,44100,2,0.419983,0.113451,True,6c79bccfdf5db14b7d9be46255925f92bb3a262e496810ef4ad4b21c5e75eee8,replace_nonfinal_asset,ui_select
content/ui_sfx_manifest.json,ui_adjust,res://art/audio/runtime/ui/adjust.wav,slider_adjust,60,-20.0,,False,True,10628,0.06,44100,2,0.349976,0.084834,True,54b407545cde3f442bb5d94ab6fa9cd3b58d8457dab11f426d7908dad24a0028,replace_nonfinal_asset,ui_adjust
content/ui_sfx_manifest.json,ui_tab,res://art/audio/runtime/ui/tab.wav,tab_change,90,-18.5,,False,True,15920,0.09,44100,2,0.389984,0.098845,True,b87e08a42af827a1dd876ad63e0192ae6933a128b47e493648b7b6f9e91bde0a,replace_nonfinal_asset,ui_tab
content/ui_sfx_manifest.json,ui_confirm,res://art/audio/runtime/ui/confirm.wav,confirm_action,120,-17.0,,False,True,21212,0.12,44100,2,0.48996,0.161901,True,8afe9b953b001a92fed65fd6541ad5fe3c33b653f35c5a299b0ba60bea41a070,replace_nonfinal_asset,ui_confirm;audio_placeholder_ui_confirm
content/ui_sfx_manifest.json,ui_invalid,res://art/audio/runtime/ui/invalid.wav,invalid_action,150,-17.5,,False,True,26504,0.15,44100,2,0.509979,0.181145,True,fce723d4843f61804af192d3a5005d6178145384d5cc2450df12bdf0558ccd86,replace_nonfinal_asset,ui_invalid
content/presentation_sfx_manifest.json,audio_placeholder_artifact_claim,res://art/audio/runtime/presentation/artifact_claim.wav,overworld_artifact_recovered,420,-12.5,artifact_acquired,False,True,74132,0.42,44100,2,0.639954,0.275117,True,95b19560be85ef6af59dac329310d48d8d9bf5a67c533045e0c7449fdbf47db0,replace_nonfinal_asset,audio_placeholder_artifact_claim
content/presentation_sfx_manifest.json,audio_placeholder_artifact_equip,res://art/audio/runtime/presentation/artifact_equip.wav,overworld_artifact_equipped,260,-14.0,artifact_equipped,False,True,45908,0.26,44100,2,0.549957,0.182854,True,f543faa2aad0303990f3c9fba2bb4d632e04aa779017275ca28bba41a968abf4,replace_nonfinal_asset,audio_placeholder_artifact_equip
content/presentation_sfx_manifest.json,audio_placeholder_artifact_stow,res://art/audio/runtime/presentation/artifact_stow.wav,overworld_artifact_stowed,280,-14.0,artifact_unequipped,False,True,49436,0.28,44100,2,0.519958,0.173457,True,6952efff15cb3afff949591c2f1d50e927ffe241e532ca54f775367daaa93fe2,replace_nonfinal_asset,audio_placeholder_artifact_stow
content/presentation_sfx_manifest.json,audio_placeholder_resource_tick,res://art/audio/runtime/presentation/resource_tick.wav,overworld_resource_collected,240,-14.5,ui_resource_delta,False,True,42380,0.24,44100,2,0.499969,0.169253,True,6a3265612cc4d3ff198d7cb9f9b3d90e7d2844a9b623c6c7c68405bc89920bf2,replace_nonfinal_asset,audio_placeholder_resource_tick
content/presentation_sfx_manifest.json,audio_placeholder_spell_school_soft,res://art/audio/runtime/presentation/field_spell.wav,overworld_field_spell_cast,480,-13.0,spell_cast_overworld,False,True,84716,0.48,44100,2,0.579956,0.186783,True,0000e11829a25ed1294b65a10fb2ef05bab2f3d72c966229639214c98d9e3afa,replace_nonfinal_asset,audio_placeholder_spell_school_soft
content/presentation_sfx_manifest.json,audio_placeholder_save_confirm,res://art/audio/runtime/presentation/save_confirm.wav,system_save_confirmed,320,-13.5,system_save_written,False,True,56492,0.32,44100,2,0.539978,0.21003,True,a602fa78da78354607f9105dcaaa0f57aa8ad0b5774b4cee00bb64f00077335f,replace_nonfinal_asset,audio_placeholder_save_confirm
